Year,GCB,CABLE,CLASS-CTEM,CLM5.0,DLEM,ISAM,JSBACH,JULES,LPJ-GUESS ,LPJ ,LPX-Bern,OCN,ORCHIDEE-CNP,ORCHIDEE-Trunk,SDGVM,SURFEX,VISIT
1959,0.5160732039,0.464,-0.1892,1.11668,0.684072805,1.1697,0.4809,1.0938465,-0.057435,-0.5395664483,0.0585243674,1.0406825542,0.206038,0.5177770898,0.144951394,0.8112,1.255
1960,1.394030036,2.6133,1.2883,1.30166,1.715825693,1.4693,2.0734,1.1468272,1.452678,0.4600550726,0.8678303052,1.0853407383,1.2231,1.5587660898,0.7580374775,1.38506,1.905
1961,0.6050982148,1.8724,1.1669,0.374898,0.467182948,0.8829,1.6108,0.9748187,-0.137858,-0.6356018966,-0.2858648066,1.2968943119,-0.00308911,1.1789260898,-1.0676248003,0.57889,1.407
1962,1.3483486486,2.1697,1.9863,1.05004,1.088284058,1.4048,2.2852,2.0975929,1.143677,0.2678789787,-0.0458619372,1.7766779661,1.42469,1.1072690898,-0.1025596786,1.50989,2.41
1963,0.8777942653,1.9296,0.2003,0.748967,0.570186581,1.0754,1.5373,1.9467808,-0.715668,-0.5234209952,-0.1728221399,1.5694856644,0.185551,1.4244360898,0.2835522449,1.76906,2.216
1964,1.4005760148,2.3599,1.119,1.73433,1.769946921,1.939,1.4961,2.5279063,1.772659,0.76642422,0.9434559023,1.8978120089,1.05113,1.1247670898,0.2814147953,0.14237,1.483
1965,0.4232291244,2.0464,0.0046,1.00584,0.646301166,1.248,0.36195,0.9513871,-1.02309,-0.6044165731,-1.2758724427,0.7214503884,1.62021,0.3528850898,-1.6423787383,1.0644,1.294
1966,1.2784244128,1.9194,1.7859,1.52951,1.634750254,1.3117,1.81,0.3244431,0.986364,0.119825026,0.9367686304,1.5905789137,0.679059,1.9192560898,1.7064555911,0.81978,1.381
1967,1.6283938585,2.6046,0.6424,1.59253,1.719235527,1.8607,1.8481,2.6146183,1.100377,0.896667497,1.0714120641,2.654696703,1.27825,1.4416660898,1.2912685558,1.63778,1.8
1968,2.5305576595,3.0903,2.1998,2.21128,2.56760934,2.4864,1.8406,3.2351358,3.900152,2.5132441923,2.248937643,2.8424508572,2.50875,1.8782160898,2.3258966294,1.80915,2.831
1969,0.5042561395,1.0533,0.6194,1.23007,-0.162449055,0.3627,1.5395,-0.2209234,0.36412,0.1830761126,0.2788082278,0.7259504795,-0.648246,0.6624440898,0.4805177772,0.72783,0.872
1970,0.4418397155,1.6971,0.4148,1.36461,0.85741751,0.6622,1.354,-0.7749581,0.177886,-1.0732972539,0.0300689889,0.6005091667,0.237294,0.5842620898,-0.6298369542,0.72538,0.842
1971,2.4623893846,3.7912,2.7734,1.7031,3.524350523,2.4419,1.6319,2.9707711,2.808305,2.0543472506,1.9150348266,2.7835495472,2.99125,2.1451160898,1.7664458169,1.40756,2.69
1972,1.047974316,1.2369,1.0856,0.886972,1.121499801,0.709,-0.76154,0.1118834,2.091823,1.5390539323,1.2246674771,1.7430334091,0.102394,0.5554380898,1.1055439465,2.07132,1.944
1973,1.4607379109,2.504,1.7766,2.03581,2.269763294,1.7578,1.7884,-0.5032699,3.280142,0.6979401174,0.6294202602,2.2379271984,0.0647312,1.5378560898,2.6052363144,-0.28855,0.978
1974,4.0718154389,5.6626,4.7051,2.46379,3.68727865,3.2855,4.6136,5.0681833,4.953179,3.744155806,3.6211239112,4.3608407974,3.92296,4.1093460898,3.2344894675,3.2889,4.428
1975,2.4372607493,2.7487,3.3196,2.29835,2.476058098,2.0719,2.0533,2.6899035,2.647852,2.0770571549,2.24310114,3.2830064297,2.14659,1.9473060898,1.9180075768,1.58544,3.49
1976,2.9578024631,4.0173,2.7193,2.93862,2.862523156,2.7371,1.3631,4.3658199,2.42147,4.2370482075,2.2436756915,3.6664733887,2.64212,1.9994760898,2.3828629764,2.33895,4.389
1977,1.4178921112,2.2977,1.5404,1.98931,0.75250828,1.04,0.94642,1.3387707,0.384202,1.703821827,1.6574489282,2.5086681843,0.0305377,1.4483260898,0.8676900694,1.44247,2.738
1978,2.8180625008,3.8405,4.0217,2.53901,2.469746382,2.4727,3.3477,3.3244329,2.988209,2.6113376698,1.8575198671,2.8249392509,1.67917,3.0108360898,3.1349288536,1.88427,3.082
1979,1.536241533,2.722,1.0491,2.12291,1.480580908,1.54,2.55,1.093192,0.855329,1.2025568901,0.7908955253,2.1086807251,0.433245,1.1908960898,1.0555283898,1.92395,2.461
1980,0.5193541748,1.7199,-0.4264,1.44274,1.104760039,1.0995,1.2553,-0.1441254,-0.603943,-0.6462331146,-1.0654904524,1.195250392,0.985855,0.7707670898,-0.5625037577,0.67329,1.511
1981,2.2743925637,3.3291,2.5142,2.28511,3.033919021,2.1603,2.8051,2.091453,1.668894,1.0708700273,0.8871619654,3.5813655853,1.94941,2.7812960898,1.9178313303,1.90327,2.411
1982,1.5549001341,2.6434,0.8244,1.88578,2.09529908,2.0994,1.0833,1.228695,1.684541,1.8345793359,0.7084689452,2.1665334702,0.96411,0.7248770898,0.3096782246,2.05734,2.568
1983,0.2165196278,1.094,-1.1635,1.1953,1.017246191,0.8705,1.4291,-0.1592609,-1.00425,-0.7617268615,-1.6270344642,1.3111169338,-0.256652,0.3901610898,0.4063340559,0.29898,0.424
